id;rfc;fecha;tipo_solicitudd;folio;estatus
1;Kansas Fiji;2020-12-20T09:55:53;Valleys Optimization blue;repurpose Auto Loan Account Metal;29826
2;plug-and-play Visionary Consultant;2020-12-20T07:44:17;empower Chips Indiana;Tactics Planner Shoes;18870
3;indigo Lead;2020-12-19T16:17:22;Concrete digital Automated;payment;28199
4;Human Soft payment;2020-12-20T14:00:27;protocol tertiary Personal Loan Account;Auto Loan Account;71067
5;Fresh;2020-12-20T03:29:18;Global synthesize parsing;Buckinghamshire;54417
6;auxiliary Integration reboot;2020-12-19T21:39:37;Rand Namibia Dollar;regional;97877
7;uniform Implementation;2020-12-20T09:13:27;Afghani;Buckinghamshire;92771
8;Burundi;2020-12-20T00:39:23;bypass Ergonomic orchid;analyzer;49517
9;IB Personal Loan Account SCSI;2020-12-20T03:08:08;orange Granite;Toys Tasty Steel Table;66005
10;Awesome Rubber Table;2020-12-20T02:05:31;yellow Minnesota Implemented;Administrator synthesize;11151
